         311450535 function calls (311430752 primitive calls) in 153.302 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       55    0.000    0.000    0.000    0.000 enum.py:484(_find_data_type)
       62    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
      987    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      378    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
       35    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        2    0.000    0.000    0.008    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.017    0.017 multiarray.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      372    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      420    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        4    0.000    0.000    0.141    0.035 __init__.py:8(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.046    0.046 CodonTable.py:7(<module>)
       78    0.000    0.000    0.001    0.000 CodonTable.py:172(__init__)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x11052f160}
      242    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.006    0.006 ssl.py:4(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
      875    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
       21    0.000    0.000    0.000    0.000 enum.py:505(_find_new_)
      128    0.000    0.000    0.000    0.000 enum.py:557(__new__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 QualityIO.py:551(<dictcomp>)
        1    0.000    0.000    0.055    0.055 request.py:1(<module>)
      418    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 IUPACData.py:189(_make_ambiguous_ranges)
