         391581 function calls (387975 primitive calls) in 0.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.000    0.000 argparse.py:1299(register)
       93    0.000    0.000    0.000    0.000 Seq.py:307(__len__)
        1    0.000    0.000    0.131    0.131 clipkit.py:3(<module>)
       96    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        8    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      231    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.001    0.001 helpers.py:10(automatic_file_type_determination)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
       72    0.000    0.000    0.000    0.000 __init__.py:284(_get_base_alphabet)
       58    0.000    0.000    0.000    0.000 IUPACData.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1796(_parse_known_args)
        1    0.000    0.000    0.000    0.000 Seq.py:77(Seq)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        1    0.000    0.000    0.000    0.000 XdnaIO.py:12(<module>)
        1    0.000    0.000    0.012    0.012 InsdcIO.py:31(<module>)
        1    0.000    0.000    0.007    0.007 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:801(SSLSocket)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
       38    0.000    0.000    0.000    0.000 types.py:164(__get__)
      5/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.002    0.002 SnapGeneIO.py:12(<module>)
        1    0.000    0.000    0.000    0.000 QualityIO.py:748(<dictcomp>)
        1    0.000    0.000    0.000    0.000 StockholmIO.py:171(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        9    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       10    0.000    0.000    0.000    0.000 argparse.py:1385(_add_action)
        2    0.000    0.000    0.000    0.000 Interfaces.py:11(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        4    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        9    0.000    0.000    0.000    0.000 posixpath.py:75(join)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.000    0.000 SffIO.py:234(<module>)
        1    0.000    0.000    0.002    0.002 SeqXmlIO.py:15(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:20(<module>)
        1    0.000    0.000    0.007    0.007 File.py:16(<module>)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
       50    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       26    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       26    0.000    0.000    0.000    0.000 CodonTable.py:482(<listcomp>)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       10    0.000    0.000    0.000    0.000 argparse.py:808(__init__)
        1    0.000    0.000    0.000    0.000 Ace.py:56(<module>)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.014    0.014 _policybase.py:4(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
       52    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 NibIO.py:40(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:692(_FeatureConsumer)
       24    0.000    0.000    0.000    0.000 Seq.py:98(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:189(_set_per_column_annotations)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       50    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        4    0.000    0.000    0.000    0.000 argparse.py:1554(__init__)
        1    0.000    0.000    0.006    0.006 UniprotIO.py:18(<module>)
        1    0.000    0.000    0.041    0.041 __init__.py:14(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:311(_consensus_base_alphabet)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 SeqFeature.py:63(SeqFeature)
        1    0.000    0.000    0.000    0.000 SeqFeature.py:52(<module>)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 saxutils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 PdbIO.py:8(<module>)
        1    0.000    0.000    0.001    0.001 MauveIO.py:78(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:387(get_alignment_length)
        2    0.000    0.000    0.000    0.000 __init__.py:471(extend)
        1    0.000    0.000    0.001    0.001 IUPAC.py:8(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 ssl.py:390(SSLContext)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        4    0.000    0.000    0.000    0.000 locale.py:384(normalize)
       16    0.000    0.000    0.000    0.000 enum.py:360(__members__)
        3    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
       50    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       10    0.000    0.000    0.000    0.000 argparse.py:1576(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:2345(_get_values)
